idade,trabalha,horas_dia_num,impacto_relacoes,plataforma_mais_usada,horario_pico
57,Não,12.25,Piorou,Facebook,Noite
38,Sim,6.07,Sem Mudança,YouTube,Noite
46,Sim,5.64,Piorou,Instagram,Noite
29,Sim,9.64,Sem Mudança,Instagram,Noite
21,Sim,4.42,Melhorou,Twitter,Noite
44,Sim,2.0,Sem Mudança,TikTok,Tarde
33,Sim,2.13,Melhorou,Facebook,Noite
55,Sim,5.22,Melhorou,Facebook,Tarde
13,Não,12.28,Melhorou,Instagram,Manhã
16,Não,8.23,Sem Mudança,Instagram,Tarde
18,Sim,1.26,Piorou,Instagram,Noite
26,Sim,3.95,Sem Mudança,Twitter,Noite
11,Não,8.48,Piorou,TikTok,Tarde
55,Sim,7.97,Sem Mudança,Facebook,Noite
46,Sim,4.92,Sem Mudança,Instagram,Manhã
18,Sim,8.1,Melhorou,TikTok,Noite
56,Não,6.95,Melhorou,YouTube,Manhã
56,Não,13.45,Melhorou,Twitter,Manhã
34,Sim,8.04,Melhorou,Facebook,Noite
50,Sim,4.85,Melhorou,Facebook,Noite
23,Sim,5.88,Melhorou,YouTube,Noite
52,Não,13.59,Sem Mudança,Facebook,Noite
53,Sim,3.59,Piorou,Instagram,Noite
44,Sim,1.95,Piorou,Instagram,Noite
25,Sim,2.62,Sem Mudança,TikTok,Noite
47,Sim,5.8,Sem Mudança,Twitter,Tarde
25,Sim,3.59,Melhorou,YouTube,Noite
58,Não,14.29,Sem Mudança,Twitter,Tarde
30,Sim,9.07,Melhorou,TikTok,Noite
20,Sim,2.82,Sem Mudança,YouTube,Noite
14,Não,12.2,Melhorou,Instagram,Tarde
25,Sim,1.77,Melhorou,TikTok,Noite
38,Sim,9.23,Sem Mudança,Twitter,Noite
25,Sim,2.78,Piorou,Twitter,Noite
46,Não,10.54,Melhorou,TikTok,Noite
35,Sim,8.52,Melhorou,Facebook,Noite
45,Sim,1.24,Piorou,TikTok,Noite
35,Sim,5.53,Melhorou,YouTube,Noite
30,Sim,5.9,Sem Mudança,YouTube,Noite
16,Não,10.06,Piorou,Instagram,Manhã
38,Sim,6.95,Sem Mudança,YouTube,Noite
35,Sim,7.51,Sem Mudança,Facebook,Noite
25,Sim,8.54,Piorou,Twitter,Noite
26,Sim,5.2,Piorou,Instagram,Noite
12,Não,10.09,Piorou,Twitter,Noite
47,Não,5.55,Sem Mudança,TikTok,Manhã
22,Sim,2.51,Sem Mudança,Facebook,Noite
22,Não,8.85,Melhorou,Twitter,Noite
45,Sim,6.58,Piorou,Instagram,Noite
18,Não,9.98,Melhorou,Facebook,Noite
19,Sim,1.34,Piorou,Facebook,Noite
53,Não,10.55,Piorou,TikTok,Manhã
15,Não,13.05,Sem Mudança,Twitter,Manhã
13,Não,11.78,Piorou,Facebook,Tarde
34,Sim,9.32,Melhorou,YouTube,Noite
44,Não,8.58,Melhorou,YouTube,Tarde
22,Não,11.06,Melhorou,YouTube,Tarde
54,Não,4.53,Sem Mudança,TikTok,Tarde
44,Sim,7.09,Sem Mudança,Twitter,Noite
28,Sim,4.84,Piorou,TikTok,Noite
20,Não,12.44,Melhorou,Instagram,Noite
25,Sim,5.31,Melhorou,Twitter,Noite
21,Não,9.21,Piorou,TikTok,Manhã
49,Não,6.38,Piorou,Facebook,Manhã
20,Não,13.85,Sem Mudança,Twitter,Tarde
54,Não,9.37,Piorou,Facebook,Noite
13,Não,11.24,Sem Mudança,YouTube,Tarde
32,Sim,5.94,Sem Mudança,YouTube,Noite
49,Não,6.2,Melhorou,Instagram,Tarde
45,Sim,7.39,Piorou,Twitter,Manhã
57,Não,10.35,Piorou,Twitter,Tarde
19,Sim,3.75,Melhorou,YouTube,Noite
16,Sim,9.2,Melhorou,YouTube,Noite
52,Não,13.7,Piorou,YouTube,Manhã
14,Não,14.14,Melhorou,Facebook,Tarde
32,Sim,7.46,Piorou,Twitter,Noite
12,Não,12.1,Sem Mudança,Instagram,Tarde
41,Não,14.28,Sem Mudança,Facebook,Noite
22,Não,12.39,Sem Mudança,TikTok,Noite
54,Sim,5.21,Piorou,Twitter,Manhã
19,Sim,6.47,Sem Mudança,Twitter,Noite
57,Não,13.73,Melhorou,TikTok,Manhã
27,Sim,7.75,Sem Mudança,TikTok,Noite
36,Sim,5.9,Sem Mudança,Twitter,Noite
28,Sim,8.56,Piorou,Facebook,Noite
26,Sim,2.71,Melhorou,Instagram,Noite
32,Sim,2.22,Piorou,YouTube,Noite
30,Sim,1.08,Piorou,TikTok,Noite
17,Sim,9.87,Sem Mudança,Twitter,Noite
59,Sim,2.69,Sem Mudança,TikTok,Tarde
37,Sim,1.84,Sem Mudança,Facebook,Noite
41,Sim,7.76,Sem Mudança,TikTok,Tarde
43,Sim,2.42,Piorou,YouTube,Manhã
10,Não,9.34,Piorou,TikTok,Tarde
52,Não,4.94,Sem Mudança,Instagram,Noite
49,Não,14.0,Piorou,TikTok,Manhã
38,Sim,1.06,Sem Mudança,Twitter,Noite
26,Sim,6.04,Melhorou,Facebook,Noite
13,Não,10.77,Melhorou,YouTube,Tarde
52,Não,10.77,Melhorou,Twitter,Manhã
45,Sim,3.53,Piorou,Instagram,Manhã
42,Não,7.5,Sem Mudança,YouTube,Noite
16,Não,9.23,Piorou,Twitter,Manhã
53,Sim,6.39,Sem Mudança,YouTube,Manhã
24,Sim,7.26,Sem Mudança,Twitter,Noite
40,Sim,7.28,Sem Mudança,Instagram,Noite
33,Sim,9.13,Sem Mudança,TikTok,Noite
28,Sim,6.2,Piorou,Instagram,Noite
55,Sim,2.93,Melhorou,Instagram,Tarde
51,Não,4.15,Melhorou,Instagram,Noite
49,Sim,7.9,Sem Mudança,YouTube,Tarde
43,Não,13.99,Piorou,TikTok,Tarde
33,Sim,3.41,Piorou,Twitter,Noite
39,Sim,9.6,Piorou,Instagram,Noite
27,Sim,4.83,Piorou,YouTube,Noite
59,Não,9.99,Melhorou,YouTube,Noite
24,Sim,4.08,Sem Mudança,Twitter,Noite
22,Sim,5.26,Sem Mudança,YouTube,Noite
57,Sim,4.85,Sem Mudança,Twitter,Tarde
29,Sim,3.42,Melhorou,Twitter,Noite
56,Sim,6.59,Sem Mudança,YouTube,Manhã
39,Sim,9.12,Sem Mudança,YouTube,Noite
35,Sim,9.39,Piorou,Twitter,Noite
48,Não,13.12,Piorou,YouTube,Manhã
56,Sim,4.88,Piorou,YouTube,Manhã
36,Sim,5.29,Sem Mudança,Instagram,Noite
20,Não,8.92,Sem Mudança,Instagram,Tarde
28,Sim,6.11,Sem Mudança,TikTok,Noite
49,Sim,5.67,Piorou,Instagram,Manhã
33,Sim,2.12,Melhorou,TikTok,Noite
57,Não,9.1,Piorou,YouTube,Noite
16,Sim,5.41,Melhorou,Facebook,Noite
14,Não,8.15,Sem Mudança,TikTok,Noite
25,Sim,6.2,Piorou,Instagram,Noite
25,Sim,3.29,Sem Mudança,YouTube,Noite
51,Não,5.47,Piorou,Twitter,Manhã
32,Sim,5.75,Piorou,Instagram,Noite
44,Não,11.31,Sem Mudança,Facebook,Noite
17,Não,10.62,Melhorou,TikTok,Tarde
10,Não,11.55,Sem Mudança,TikTok,Noite
19,Não,10.96,Piorou,YouTube,Tarde
18,Não,13.01,Piorou,YouTube,Tarde
14,Não,12.96,Piorou,TikTok,Noite
14,Não,13.94,Sem Mudança,YouTube,Noite
43,Sim,2.7,Sem Mudança,Facebook,Noite
23,Sim,7.03,Piorou,TikTok,Noite
29,Sim,1.06,Sem Mudança,YouTube,Noite
45,Sim,5.54,Melhorou,Instagram,Manhã
13,Não,11.55,Piorou,TikTok,Manhã
48,Sim,2.18,Sem Mudança,TikTok,Manhã
43,Não,6.12,Melhorou,Facebook,Tarde
12,Não,12.98,Melhorou,Instagram,Manhã
42,Sim,5.35,Piorou,YouTube,Noite
57,Não,9.25,Melhorou,TikTok,Manhã
22,Sim,8.48,Melhorou,YouTube,Noite
52,Sim,1.56,Piorou,Instagram,Noite
53,Não,13.53,Piorou,TikTok,Manhã
50,Não,13.6,Sem Mudança,Instagram,Noite
27,Sim,6.9,Sem Mudança,YouTube,Noite
29,Sim,5.86,Melhorou,Twitter,Noite
54,Sim,1.02,Melhorou,Twitter,Noite
34,Sim,5.28,Melhorou,Twitter,Noite
24,Sim,6.6,Melhorou,TikTok,Noite
18,Não,10.73,Melhorou,YouTube,Manhã
42,Sim,4.34,Melhorou,TikTok,Manhã
43,Sim,4.42,Melhorou,YouTube,Tarde
47,Sim,3.8,Melhorou,Twitter,Noite
18,Sim,7.32,Piorou,TikTok,Noite
51,Não,8.02,Piorou,YouTube,Manhã
12,Não,9.12,Melhorou,Facebook,Tarde
50,Não,12.69,Sem Mudança,YouTube,Tarde
59,Não,13.03,Piorou,Facebook,Manhã
38,Sim,6.72,Sem Mudança,Facebook,Noite
26,Sim,3.85,Sem Mudança,Twitter,Noite
10,Não,9.88,Melhorou,YouTube,Noite
46,Não,10.03,Melhorou,Twitter,Noite
41,Não,12.38,Sem Mudança,TikTok,Manhã
39,Sim,6.47,Sem Mudança,TikTok,Noite
22,Não,13.25,Sem Mudança,Facebook,Tarde
48,Sim,3.72,Melhorou,TikTok,Tarde
12,Não,11.61,Sem Mudança,Facebook,Manhã
37,Sim,9.76,Piorou,Facebook,Noite
26,Sim,3.82,Sem Mudança,YouTube,Noite
18,Não,8.04,Melhorou,Instagram,Manhã
50,Sim,1.75,Melhorou,TikTok,Tarde
55,Não,14.08,Piorou,Instagram,Tarde
31,Sim,9.96,Sem Mudança,Twitter,Noite
46,Sim,1.15,Melhorou,YouTube,Tarde
45,Sim,1.8,Sem Mudança,YouTube,Noite
53,Sim,5.55,Sem Mudança,Facebook,Tarde
23,Sim,5.51,Melhorou,Facebook,Noite
27,Sim,7.27,Piorou,Instagram,Noite
49,Não,11.61,Sem Mudança,Facebook,Noite
34,Sim,6.86,Melhorou,Facebook,Noite
